,Estacion_x,Estacion_y,Distancia
272,Bahia blanca aero,Formosa aero,1438
273,Bahia blanca aero,General pico aero,365
274,Bahia blanca aero,Gualeguaychu aero,710
275,Bahia blanca aero,Hilario ascasubi,83
276,Bahia blanca aero,Iguazu aero,1613
277,Bahia blanca aero,Jujuy aero,1618
278,Bahia blanca aero,Junin aero,476
279,Bahia blanca aero,La consulta,835
280,Bahia blanca aero,La plata aero,563
281,Bahia blanca aero,La rioja aero,1122
282,Bahia blanca aero,Laboulaye aero,521
283,Bahia blanca aero,Laquiaca obs.,1877
284,Bahia blanca aero,Las brenas,1295
285,Bahia blanca aero,Las lomitas,1565
286,Bahia blanca aero,Malargue aero,750
287,Bahia blanca aero,Manfredi,781
288,Bahia blanca aero,Mar del plata aero,408
289,Bahia blanca aero,Marcos juarez,671
290,Bahia blanca aero,Marcos juarez aero,671
291,Bahia blanca aero,Mendoza aero,887
292,Bahia blanca aero,Mendoza observatorio,886
293,Bahia blanca aero,Mercedad (ctes),1127
294,Bahia blanca aero,Monte caseros aero,1026
295,Bahia blanca aero,Neuquen aero,519
296,Bahia blanca aero,Oliveros,696
297,Bahia blanca aero,Oran aero,1743
298,Bahia blanca aero,Parana,14449
299,Bahia blanca aero,Parana aero,785
300,Bahia blanca aero,Paso de los libres aero,1103
301,Bahia blanca aero,Pehuajo aero,321
302,Bahia blanca aero,Pergamino,551
303,Bahia blanca aero,Pigue aero,125
304,Bahia blanca aero,Pilar obs.,798
305,Bahia blanca aero,Posadas aero,1384
306,Bahia blanca aero,Punta indio b.a.,579
307,Bahia blanca aero,Rafaela,840
308,Bahia blanca aero,Reconquista,1084
309,Bahia blanca aero,Reconquista aero,1082
310,Bahia blanca aero,Resistencia aero,1286
311,Bahia blanca aero,Rio cuarto aero,654
312,Bahia blanca aero,Roque saenz pena,1327
313,Bahia blanca aero,Rosario aero,656
314,Bahia blanca aero,Salta aero,1574
315,Bahia blanca aero,San juan,991
316,Bahia blanca aero,San juan aero,977
317,Bahia blanca aero,San luis aero,713
318,Bahia blanca aero,San martin (mza),846
319,Bahia blanca aero,San miguel,556
320,Bahia blanca aero,San pedro,602
321,Bahia blanca aero,San rafael aero,721
322,Bahia blanca aero,Santa rosa aero,302
323,Bahia blanca aero,Santiago del estero aero,1234
324,Bahia blanca aero,Sauce viejo aero,788
325,Bahia blanca aero,Tandil aero,303
326,Bahia blanca aero,Tinogasta,1289
327,Bahia blanca aero,Tres arroyos,162
328,Bahia blanca aero,Unr-zavalla,644
329,Bahia blanca aero,Villa dolores aero,800
330,Bahia blanca aero,Villa mercedes,631
331,Bahia blanca aero,Villa reynolds aero,626
332,Balcarce,9 de julio,344
333,Balcarce,Aeroparque aero,354
334,Balcarce,Anguil,522
335,Balcarce,Bahia blanca aero,353
336,Balcarce,Balcarce,0
337,Balcarce,Barrow,182
338,Balcarce,Bella vista,1037
339,Balcarce,Bordenave,414
340,Balcarce,Buenos aires,351
341,Balcarce,Castelar,5510
342,Balcarce,Catamarca aero,1231
343,Balcarce,Ceres aero,937
344,Balcarce,Cerro azul,1154
345,Balcarce,Colonia benitez,1150
346,Balcarce,Conc. del uruguay,5618
347,Balcarce,Concordia aero,717
348,Balcarce,Cordoba aero,897
349,Balcarce,Cordoba observatorio,886
350,Balcarce,Coronel suarez aero,318
351,Balcarce,Corrientes aero,1146
352,Balcarce,Dolores aero,167
353,Balcarce,Ezeiza aero,327
354,Balcarce,Famailla,1363
355,Balcarce,Formosa aero,1283
356,Balcarce,General pico aero,537
357,Balcarce,Gualeguaychu aero,527
358,Balcarce,Hilario ascasubi,416
359,Balcarce,Iguazu aero,1384
360,Balcarce,Jujuy aero,1619
361,Balcarce,Junin aero,427
362,Balcarce,La consulta,1073
363,Balcarce,La plata aero,311
364,Balcarce,La rioja aero,1217
365,Balcarce,Laboulaye aero,607
366,Balcarce,Laquiaca obs.,1875
367,Balcarce,Las brenas,1212
368,Balcarce,Las lomitas,1467
369,Balcarce,Malargue aero,1037
370,Balcarce,Manfredi,826
371,Balcarce,Mar del plata aero,66
372,Balcarce,Marcos juarez,661
373,Balcarce,Marcos juarez aero,663
374,Balcarce,Mendoza aero,1097
375,Balcarce,Mendoza observatorio,1099
376,Balcarce,Mercedad (ctes),954
377,Balcarce,Monte caseros aero,833
378,Balcarce,Neuquen aero,867
379,Balcarce,Oliveros,622
380,Balcarce,Oran aero,1722
381,Balcarce,Parana,14589
382,Balcarce,Parana aero,691
383,Balcarce,Paso de los libres aero,902
384,Balcarce,Pehuajo aero,381
385,Balcarce,Pergamino,470
386,Balcarce,Pigue aero,360
387,Balcarce,Pilar obs.,845
388,Balcarce,Posadas aero,1172
389,Balcarce,Punta indio b.a.,291
390,Balcarce,Rafaela,788
391,Balcarce,Reconquista,961
392,Balcarce,Reconquista aero,959
393,Balcarce,Resistencia aero,1148
394,Balcarce,Rio cuarto aero,748
395,Balcarce,Roque saenz pena,1226
396,Balcarce,Rosario aero,582
397,Balcarce,Salta aero,1588
398,Balcarce,San juan,1158
399,Balcarce,San juan aero,1151
400,Balcarce,San luis aero,882
401,Balcarce,San martin (mza),1056
402,Balcarce,San miguel,358
403,Balcarce,San pedro,469
404,Balcarce,San rafael aero,971
405,Balcarce,Santa rosa aero,545
406,Balcarce,Santiago del estero aero,1243
407,Balcarce,Sauce viejo aero,709
408,Balcarce,Tandil aero,100
409,Balcarce,Tinogasta,1382
410,Balcarce,Tres arroyos,191
411,Balcarce,Unr-zavalla,575
412,Balcarce,Villa dolores aero,897
413,Balcarce,Villa mercedes,787
414,Balcarce,Villa reynolds aero,779
415,Barrow,9 de julio,325
416,Barrow,Aeroparque aero,449
417,Barrow,Anguil,386
418,Barrow,Bahia blanca aero,171
419,Barrow,Balcarce,182
420,Barrow,Barrow,0
421,Barrow,Bella vista,1106
422,Barrow,Bordenave,247
423,Barrow,Buenos aires,443
424,Barrow,Castelar,5624
425,Barrow,Catamarca aero,1195
426,Barrow,Ceres aero,952
427,Barrow,Cerro azul,1268
428,Barrow,Colonia benitez,1218
429,Barrow,Conc. del uruguay,5559
430,Barrow,Concordia aero,807
431,Barrow,Cordoba aero,858
432,Barrow,Cordoba observatorio,847
433,Barrow,Coronel suarez aero,173
434,Barrow,Corrientes aero,1216
435,Barrow,Dolores aero,315
436,Barrow,Ezeiza aero,419
437,Barrow,Famailla,1342
438,Barrow,Formosa aero,1359
439,Barrow,General pico aero,427
440,Barrow,Gualeguaychu aero,608
441,Barrow,Hilario ascasubi,236
442,Barrow,Iguazu aero,1501
443,Barrow,Jujuy aero,1616
444,Barrow,Junin aero,423
445,Barrow,La consulta,946
446,Barrow,La plata aero,427
447,Barrow,La rioja aero,1162
448,Barrow,Laboulaye aero,542
449,Barrow,Laquiaca obs.,1874
450,Barrow,Las brenas,1250
451,Barrow,Las lomitas,1514
452,Barrow,Malargue aero,887
453,Barrow,Manfredi,790
454,Barrow,Mar del plata aero,237
455,Barrow,Marcos juarez,649
456,Barrow,Marcos juarez aero,650
457,Barrow,Mendoza aero,984
458,Barrow,Mendoza observatorio,985
459,Barrow,Mercedad (ctes),1038
460,Barrow,Monte caseros aero,926
461,Barrow,Neuquen aero,688
462,Barrow,Oliveros,643
463,Barrow,Oran aero,1730
464,Barrow,Parana,14513
465,Barrow,Parana aero,726
466,Barrow,Paso de los libres aero,1001
467,Barrow,Pehuajo aero,310
468,Barrow,Pergamino,488
469,Barrow,Pigue aero,203
470,Barrow,Pilar obs.,808
471,Barrow,Posadas aero,1278
472,Barrow,Punta indio b.a.,431
473,Barrow,Rafaela,802
474,Barrow,Reconquista,1017
475,Barrow,Reconquista aero,1015
476,Barrow,Resistencia aero,1214
477,Barrow,Rio cuarto aero,685
478,Barrow,Roque saenz pena,1273
479,Barrow,Rosario aero,602
480,Barrow,Salta aero,1577
481,Barrow,San juan,1066
482,Barrow,San juan aero,1056
483,Barrow,San luis aero,785
484,Barrow,San martin (mza),942
485,Barrow,San miguel,442
486,Barrow,San pedro,518
487,Barrow,San rafael aero,838
488,Barrow,Santa rosa aero,404
489,Barrow,Santiago del estero aero,1233
490,Barrow,Sauce viejo aero,736
491,Barrow,Tandil aero,149
492,Barrow,Tinogasta,1330
493,Barrow,Tres arroyos,10
494,Barrow,Unr-zavalla,592
495,Barrow,Villa dolores aero,836
496,Barrow,Villa mercedes,694
497,Barrow,Villa reynolds aero,687
498,Bella vista,9 de julio,801
499,Bella vista,Aeroparque aero,683
500,Bella vista,Anguil,1014
501,Bella vista,Bahia blanca aero,1182
502,Bella vista,Balcarce,1037
503,Bella vista,Barrow,1106
504,Bella vista,Bella vista,0
505,Bella vista,Bordenave,1114
506,Bella vista,Buenos aires,686
507,Bella vista,Castelar,6140
508,Bella vista,Catamarca aero,667
509,Bella vista,Ceres aero,333
510,Bella vista,Cerro azul,353
511,Bella vista,Colonia benitez,112
512,Bella vista,Conc. del uruguay,6656
513,Bella vista,Concordia aero,331
514,Bella vista,Cordoba aero,602
515,Bella vista,Cordoba observatorio,607
516,Bella vista,Coronel suarez aero,1040
517,Bella vista,Corrientes aero,110
518,Bella vista,Dolores aero,884
519,Bella vista,Ezeiza aero,710
520,Bella vista,Famailla,657
521,Bella vista,Formosa aero,256
522,Bella vista,General pico aero,926
523,Bella vista,Gualeguaychu aero,510
524,Bella vista,Hilario ascasubi,1264
525,Bella vista,Iguazu aero,532
526,Bella vista,Jujuy aero,761
527,Bella vista,Junin aero,706
528,Bella vista,La consulta,1135
529,Bella vista,La plata aero,733
530,Bella vista,La rioja aero,773
531,Bella vista,Laboulaye aero,761
532,Bella vista,Laquiaca obs.,972
533,Bella vista,Las brenas,260
534,Bella vista,Las lomitas,446
535,Bella vista,Malargue aero,1273
536,Bella vista,Manfredi,599
537,Bella vista,Mar del plata aero,1063
538,Bella vista,Marcos juarez,563
539,Bella vista,Marcos juarez aero,564
540,Bella vista,Mendoza aero,1063
541,Bella vista,Mendoza observatorio,1072
542,Bella vista,Mercedad (ctes),120
543,Bella vista,Monte caseros aero,239
544,Bella vista,Neuquen aero,1445
545,Bella vista,Oliveros,494
546,Bella vista,Oran aero,798
547,Bella vista,Parana,15619
548,Bella vista,Parana aero,402
549,Bella vista,Paso de los libres aero,221
550,Bella vista,Pehuajo aero,869
551,Bella vista,Pergamino,630
552,Bella vista,Pigue aero,1070
553,Bella vista,Pilar obs.,598
554,Bella vista,Posadas aero,312
555,Bella vista,Punta indio b.a.,776
556,Bella vista,Rafaela,397
557,Bella vista,Reconquista,112
558,Bella vista,Reconquista aero,113
559,Bella vista,Resistencia aero,110
560,Bella vista,Rio cuarto aero,727
561,Bella vista,Roque saenz pena,229
562,Bella vista,Rosario aero,529
563,Bella vista,Salta aero,764
564,Bella vista,San juan,962
565,Bella vista,San juan aero,978
566,Bella vista,San luis aero,889
567,Bella vista,San martin (mza),1048
568,Bella vista,San miguel,679
569,Bella vista,San pedro,588
570,Bella vista,San rafael aero,1129
571,Bella vista,Santa rosa aero,1036
572,Bella vista,Santiago del estero aero,532
573,Bella vista,Sauce viejo aero,407
574,Bella vista,Tandil aero,980
575,Bella vista,Tinogasta,849
576,Bella vista,Tres arroyos,1115
577,Bella vista,Unr-zavalla,543
578,Bella vista,Villa dolores aero,715
579,Bella vista,Villa mercedes,857
580,Bella vista,Villa reynolds aero,850
581,Bordenave,9 de julio,329
582,Bordenave,Aeroparque aero,552
583,Bordenave,Anguil,172
584,Bordenave,Bahia blanca aero,122
585,Bordenave,Balcarce,414
586,Bordenave,Barrow,247
587,Bordenave,Bella vista,1114
588,Bordenave,Bordenave,0
589,Bordenave,Buenos aires,545
590,Bordenave,Castelar,5858
591,Bordenave,Catamarca aero,1060
592,Bordenave,Ceres aero,893
593,Bordenave,Cerro azul,1336
594,Bordenave,Colonia benitez,1220
595,Bordenave,Conc. del uruguay,5617
596,Bordenave,Concordia aero,860
597,Bordenave,Cordoba aero,735
598,Bordenave,Cordoba observatorio,723
599,Bordenave,Coronel suarez aero,108
600,Bordenave,Corrientes aero,1222
601,Bordenave,Dolores aero,499
602,Bordenave,Ezeiza aero,524
603,Bordenave,Famailla,1221
604,Bordenave,Formosa aero,1370
605,Bordenave,General pico aero,249
606,Bordenave,Gualeguaychu aero,670
607,Bordenave,Hilario ascasubi,173
608,Bordenave,Iguazu aero,1569
609,Bordenave,Jujuy aero,1510
610,Bordenave,Junin aero,412
611,Bordenave,La consulta,715
612,Bordenave,La plata aero,559
613,Bordenave,La rioja aero,1004
614,Bordenave,Laboulaye aero,414
615,Bordenave,Laquiaca obs.,1768
616,Bordenave,Las brenas,1208
617,Bordenave,Las lomitas,1480
618,Bordenave,Malargue aero,641
619,Bordenave,Manfredi,673
620,Bordenave,Mar del plata aero,477
621,Bordenave,Marcos juarez,580
622,Bordenave,Marcos juarez aero,580
623,Bordenave,Mendoza aero,765
624,Bordenave,Mendoza observatorio,764
625,Bordenave,Mercedad (ctes),1070
626,Bordenave,Monte caseros aero,977
627,Bordenave,Neuquen aero,462
628,Bordenave,Oliveros,621
629,Bordenave,Oran aero,1639
630,Bordenave,Parana,14534
631,Bordenave,Parana aero,712
632,Bordenave,Paso de los libres aero,1056
633,Bordenave,Pehuajo aero,246
634,Bordenave,Pergamino,489
635,Bordenave,Pigue aero,61
636,Bordenave,Pilar obs.,690
637,Bordenave,Posadas aero,1336
638,Bordenave,Punta indio b.a.,589
639,Bordenave,Rafaela,753
640,Bordenave,Reconquista,1011
641,Bordenave,Reconquista aero,1009
642,Bordenave,Resistencia aero,1215
643,Bordenave,Rio cuarto aero,541
644,Bordenave,Roque saenz pena,1244
645,Bordenave,Rosario aero,584
646,Bordenave,Salta aero,1465
647,Bordenave,San juan,868
648,Bordenave,San juan aero,854
649,Bordenave,San luis aero,591
650,Bordenave,San martin (mza),724
651,Bordenave,San miguel,533
652,Bordenave,San pedro,552
653,Bordenave,San rafael aero,603
654,Bordenave,Santa rosa aero,179
655,Bordenave,Santiago del estero aero,1128
656,Bordenave,Sauce viejo aero,711
657,Bordenave,Tandil aero,340
658,Bordenave,Tinogasta,1170
659,Bordenave,Tres arroyos,242
660,Bordenave,Unr-zavalla,570
661,Bordenave,Villa dolores aero,684
662,Bordenave,Villa mercedes,509
663,Bordenave,Villa reynolds aero,505
664,Buenos aires,9 de julio,238
665,Buenos aires,Aeroparque aero,7
666,Buenos aires,Anguil,540
667,Buenos aires,Bahia blanca aero,563
668,Buenos aires,Balcarce,351
669,Buenos aires,Barrow,443
670,Buenos aires,Bella vista,686
671,Buenos aires,Bordenave,545
672,Buenos aires,Buenos aires,0
673,Buenos aires,Castelar,5711
674,Buenos aires,Catamarca aero,958
675,Buenos aires,Ceres aero,616
676,Buenos aires,Cerro azul,824
677,Buenos aires,Colonia benitez,798
678,Buenos aires,Conc. del uruguay,5970
679,Buenos aires,Concordia aero,368
680,Buenos aires,Cordoba aero,647
681,Buenos aires,Cordoba observatorio,639
682,Buenos aires,Coronel suarez aero,441
683,Buenos aires,Corrientes aero,794
684,Buenos aires,Dolores aero,204
685,Buenos aires,Ezeiza aero,25
686,Buenos aires,Famailla,1068
687,Buenos aires,Formosa aero,932
688,Buenos aires,General pico aero,495
689,Buenos aires,Gualeguaychu aero,176
690,Buenos aires,Hilario ascasubi,647
691,Buenos aires,Iguazu aero,1057
692,Buenos aires,Jujuy aero,1302
693,Buenos aires,Junin aero,224
694,Buenos aires,La consulta,983
695,Buenos aires,La plata aero,68
696,Buenos aires,La rioja aero,973
697,Buenos aires,Laboulaye aero,450
698,Buenos aires,Laquiaca obs.,1552
699,Buenos aires,Las brenas,869
700,Buenos aires,Las lomitas,1118
701,Buenos aires,Malargue aero,1014
702,Buenos aires,Manfredi,580
703,Buenos aires,Mar del plata aero,380
704,Buenos aires,Marcos juarez,398
705,Buenos aires,Marcos juarez aero,400
706,Buenos aires,Mendoza aero,973
707,Buenos aires,Mendoza observatorio,978
708,Buenos aires,Mercedad (ctes),604
709,Buenos aires,Monte caseros aero,486
710,Buenos aires,Neuquen aero,986
711,Buenos aires,Oliveros,315
712,Buenos aires,Oran aero,1393
713,Buenos aires,Parana,14938
714,Buenos aires,Parana aero,362
715,Buenos aires,Paso de los libres aero,559
716,Buenos aires,Pehuajo aero,337
717,Buenos aires,Pergamino,203
718,Buenos aires,Pigue aero,485
719,Buenos aires,Pilar obs.,597
720,Buenos aires,Posadas aero,835
721,Buenos aires,Punta indio b.a.,135
722,Buenos aires,Rafaela,475
723,Buenos aires,Reconquista,612
724,Buenos aires,Reconquista aero,610
725,Buenos aires,Resistencia aero,796
726,Buenos aires,Rio cuarto aero,560
727,Buenos aires,Roque saenz pena,878
728,Buenos aires,Rosario aero,282
729,Buenos aires,Salta aero,1276
730,Buenos aires,San juan,984
731,Buenos aires,San juan aero,984
732,Buenos aires,San luis aero,740
733,Buenos aires,San martin (mza),937
734,Buenos aires,San miguel,22
735,Buenos aires,San pedro,149
736,Buenos aires,San rafael aero,907
737,Buenos aires,Santa rosa aero,569
738,Buenos aires,Santiago del estero aero,939
739,Buenos aires,Sauce viejo aero,386
740,Buenos aires,Tandil aero,302
741,Buenos aires,Tinogasta,1129
742,Buenos aires,Tres arroyos,453
743,Buenos aires,Unr-zavalla,282
744,Buenos aires,Villa dolores aero,685
745,Buenos aires,Villa mercedes,651
746,Buenos aires,Villa reynolds aero,641
747,Castelar,9 de julio,5842
748,Castelar,Aeroparque aero,5707
749,Castelar,Anguil,6010
750,Castelar,Bahia blanca aero,5742
751,Castelar,Balcarce,5510
752,Castelar,Barrow,5624
753,Castelar,Bella vista,6140
754,Castelar,Bordenave,5858
